COMPONENTE	ANO/FAIXA	EIXO - CAMPOS DE ATUAÇÃO	UNIDADES TEMÁTICAS	OBJETOS DE CONHECIMENTO	CÓDIGO HABILIDADE	HABILIDADES	COMENTÁRIO	POSSIBILIDADES PARA O CURRÍCULO
História	1º	-	Mundo pessoal: eu, meu grupo social e meu tempo	A vida em casa, a vida na escola e formas de representação social e espacial: os jogos e brincadeiras como forma de interação social e espacial	EF01HI05	Identificar semelhanças e diferenças entre jogos e brincadeiras atuais e de outras épocas e lugares.	A habilidade de identificar avança em relação à habilidade (EF01HI04), pois agora, além das diferenças, deve-se reconhecer as semelhanças – o que exige maior atenção, pois aquilo que se assemelha tende a passar despercebido à observação. É preciso buscar as características ou qualidades que fazem com que os jogos e brincadeiras se pareçam entre si. Importante lembrar que, em se tratando de uma comparação que envolve tempos e espaços diferentes, é necessário fornecer referências aos alunos por meio de fotografias, relatos, vídeos, vivências etc.	Na elaboração do currículo, há oportunidade de envolver a participação da família e da comunidade na indicação de jogos e brincadeiras antigas ou mesmo de ensinar aos alunos suas regras e execução. No currículo é possível, também, indicar a criação de oficina de brinquedos de sucata, por exemplo, que remetam a brinquedos do passado (peteca, telefone sem fio, boneca, carrinho, bola de meia etc.). Há a possibilidade, ainda, de envolver universidades locais e comunidades tradicionais na indicação de brincadeiras indígenas, quilombolas e africanas. Há, aqui, oportunidade de trabalho interdisciplinar com as habilidades (EF15AR08) e (EF15AR24), da Arte; (EF12EF01) e (EF12EF11), da Educação Física; e (EF01GE02) e (EF01GE06), da Geografia, associadas à experimentação e identificação de semelhanças e diferenças entre brincadeiras, jogos e danças de diferentes lugares, matrizes estéticas e tempos históricos.
História	1º	-	Mundo pessoal: eu, meu grupo social e meu tempo	A vida em família: diferentes configurações e vínculos	EF01HI06	Conhecer as histórias da família e da escola e identificar o papel desempenhado por diferentes sujeitos em diferentes espaços.	Conhecer requer buscar a informação, ouvir, anotar e lembrar. Com isso, apuram-se as habilidades anteriormente trabalhadas de identificar, descrever, distinguir e reconhecer. Identificar papéis dá continuidade às habilidades trabalhadas em (EF01HI03) e (EF01HI04), mas agora tratando das pessoas da família e da escola em uma perspectiva mais social, que envolve responsabilidades, direitos, deveres e participação. O aluno pode fazer perguntas que se adequam ao contexto escolar e familiar, como: Quem é responsável por mim? Quem mora na minha casa? Qual o trabalho dos adultos que moram na minha casa? Quais suas responsabilidades? Como chegaram até a comunidade onde vivemos? Quem cuida da escola? Quais os papeis desempenhados na escola pelos adultos e crianças e quais as atribuições de cada um?	Conhecer as histórias de família e da comunidade e reconhecer-se como membro desses grupos expande a consciência de si para o coletivo. Na elaboração do currículo, há a oportunidade de sugerir a construção, com a colaboração das famílias, de um Museu do Aluno, por exemplo, a partir de objetos fornecidos pelas famílias e sobre os quais os estudantes exercitem uma atitude historiadora (identificação do objeto, sua finalidade, data etc.). Pode-se também trabalhar com a produção de desenhos em que o aluno representa, sob a forma de esquema, os diferentes sujeitos da família e da escola, a relação ou hierarquia entre eles e com o aluno. Há, aqui, oportunidade de trabalho interdisciplinar com as habilidades (EF01LP26), da Língua Portuguesa; e (EF15AR18), da Arte, associadas à identificação de elementos de narrativas lidas, escutadas ou interpretadas.
História	1º	-	Mundo pessoal: eu, meu grupo social e meu tempo	A vida em família: diferentes configurações e vínculos	EF01HI07	Identificar mudanças e permanências nas formas de organização familiar.	Esta habilidade diz respeito a perceber o que mudou e o que se manteve na composição e organização das famílias. O aluno pode responder a perguntas como: Os irmãos são todos do mesmo pai e da mesma mãe? A família é constituída somente por aqueles que moram na mesma casa? Você conhece uma família diferente da sua? Como ela é? Trata-se de uma habilidade complexa. Para esse grupo etário, espera-se que o aluno perceba que nem todas as famílias são iguais à dele, que aponte no que elas se assemelham e diferenciam e que, por fim, reconheça que, independentemente das diferenças, o vínculo familiar permanece.	Como a organização familiar mudou muito nos últimos anos, na elaboração do currículo novas habilidades podem ser explicitadas para que o aluno possa compreender, por exemplo, que os membros de uma família não precisam necessariamente ter laços sanguíneos, nem viver na mesma casa (coabitação). Uma família pode ter filhos ou não, estes podem ser naturais ou adotados; pode haver uma só mãe ou um pai (no caso de viuvez, divórcio ou solteirice); pode incluir tios, avós, comadres ou filhos de outras uniões. Há ainda famílias sem laços sanguíneos, uma situação que pode contribuir para que o aluno perceba que o afeto é o vínculo mais importante e que toda organização familiar se estrutura pelo respeito e cuidado ao outro. Reconhecer essas diferentes formas de organização familiar possibilita que o aluno desenvolva a alteridade, o respeito ao outro e a valorização da diversidade – aspectos que também podem ser destacados nas habilidades. Pode ser também interessante complementar a habilidade, explicitando que a identificação das mudanças na organização familiar pode ser feita por meio da leitura e interpretação de contos locais ou clássicos da literatura infantil que mostrem uma situação familiar não convencional, como, por exemplo, “O Patinho Feio” (o filho diferente ou adotado), “Os Três Porquinhos” (três irmãos cuidando um do outro), “João e o Pé de Feijão” (o filho ajuda a mãe em um lar sem pai) etc.
História	1º	-	Mundo pessoal: eu, meu grupo social e meu tempo	A escola, sua representação espacial, sua história e seu papel na comunidade	EF01HI08	Reconhecer o significado das comemorações e festas escolares, diferenciando-as das datas festivas comemoradas no âmbito familiar ou da comunidade.	Esta habilidade requer reconhecer que existe uma diferença entre o que se comemora na escola e o que se festeja na família ou na comunidade. Compreender o significado de eventos de caráter nacional é uma habilidade complexa, pois requer análise e avaliação. Aqui, contudo, para esta fase escolar, espera-se que o aluno perceba que os eventos escolares, como feiras culturais, encontros e apresentações artísticas, saraus etc., têm uma significação distinta, em termos educacionais e sociais, daqueles que são celebrados em outros âmbitos, como aniversários, natal em família, aniversário da cidade etc.	Na elaboração do currículo, pode-se complementar a habilidade com a inclusão de outras ligadas à produção e investigação de calendários em que o aluno possa identificar e diferenciar as comemorações da escola e as festas pessoais, familiares e da comunidade. Essa distinção é o primeiro passo para o aluno identificar que existem fatos que vão além da experiência pessoal, porque dizem respeito a um coletivo social que existe dentro do âmbito escolar.
História	2º	-	A comunidade e seus registros	A noção do “Eu” e do “Outro”: comunidade, convivências e interações entre pessoas	EF02HI01	Reconhecer espaços de sociabilidade e identificar os motivos que aproximam e separam as pessoas em diferentes grupos sociais ou de parentesco.	Reconhecer espaços de sociabilidade implica em observar e identificar os diferentes locais de vivência, seja a praça, o parque, a igreja, a área de lazer do shopping ou a rua etc., além de perceber as relações entre as pessoas que os frequentam. Nesses espaços, onde circulam diferentes grupos de pessoas, o aluno deve observar e buscar entender que conexões existem entre as pessoas que ali circulam, incluindo as interações entre elas e o próprio estudante. Essas habilidades dizem respeito a habilidades específicas da História e Geografia de responder às questões onde, quem, como e por que.	Na elaboração do currículo, a habilidade pode ser trabalhada por meio da produção, pelos alunos, de croquis, isto é, desenhos da planta dos locais frequentados por eles, assim como o roteiro de acesso até esses locais. Os desenhos podem ser enriquecidos com a inclusão de pontos de referência e a representação de pessoas – parentes ou não – que frequentam ou trabalham nesses lugares. Trata-se de uma atividade interdisciplinar com Geografia. O exercício dessas habilidades envolve planejamento e compreensão das relações de trabalho, o que contempla a Competência Geral 6.
História	2º	-	A comunidade e seus registros	A noção do “Eu” e do “Outro”: comunidade, convivências e interações entre pessoas	EF02HI02	Identificar e descrever práticas e papéis sociais que as pessoas exercem em diferentes comunidades.	A habilidade (EF02HI01) é aprofundada nesta habilidade, pois exige do aluno reconhecer, explicar e esclarecer práticas e funções sociais em diferentes comunidades. As situações trabalhadas anteriormente servirão de referência para comparar e distinguir o que fazem as pessoas em diversos espaços, como em papéis profissionais, familiares etc.	Na elaboração do currículo, pode-se prever a visita a uma comunidade diferente daquela em que vive o aluno – comunidade indígena, quilombola, ribeirinha etc. – com o objetivo de identificar e descrever o que fazem as pessoas desses locais. Outra possibilidade é visitar espaços integrados àqueles frequentados pelo aluno, mas raramente explorados, como a cozinha da escola, para ele observar o trabalho que ali acontece e, depois, em sala de aula, narrar e explicar as práticas observadas.
História	2º	-	A comunidade e seus registros	A noção do “Eu” e do “Outro”: comunidade, convivências e interações entre pessoas	EF02HI03	Selecionar situações cotidianas que remetam à percepção de mudança, pertencimento e memória.	Selecionar implica em escolher entre diversas opções e de acordo com certos critérios. Neste caso, a escolha envolve subjetividades: lembranças, percepção de mudança e pertencimento. Trata-se de conectar tempo (memória e mudança) e espaço (pertencimento). O aluno deve se fazer certas questões que podem levar a essa compreensão, como: Que brincadeiras eu gostava de fazer na praça quando era mais novo? As festas de aniversário foram sempre iguais ou mudaram?	Na elaboração do currículo, é possível considerar a possibilidade de o aluno entrevistar ou coletar depoimentos junto aos pais, avós ou idosos da comunidade sobre sua infância com o objetivo de perceber mudanças e permanências em relação às situações cotidianas vividas por ele. O resgate da memória de adultos e idosos é um procedimento específico da História e que propicia aos alunos exercitarem as habilidades de ouvir, buscar, recolher, organizar e selecionar a informação.
História	2º	-	A comunidade e seus registros	A noção do “Eu” e do “Outro”: registros de experiências pessoais e da comunidade no tempo e no espaço	EF02HI04	Selecionar e compreender o significado de objetos e documentos pessoais como fontes de memórias e histórias nos âmbitos pessoal, familiar, escolar e comunitário.	Selecionar implica em fazer escolhas de acordo com certos critérios. Neste caso, a escolha se dará pela percepção do sentido dos objetos e documentos pessoais como formas de resgatar histórias e memórias em diversos âmbitos da vida do aluno. Trata-se de uma habilidade complexa, que exige analisar e avaliar, conforme já visto na habilidade (EF01HI08). Para esta fase escolar, espera-se que o aluno infira que a importância desses marcos materiais de memória está nas informações que eles contêm, como nome, filiação, data de nascimento, endereço etc., no caso de documentos, e marcas do tempo, tecnologias utilizadas na produção, informações de fabricação etc., no caso de objetos.	Na elaboração do currículo, é possível prever envolver a família e a escola para reunir documentos e objetos que permitam formar um acervo de fontes que dará subsídios para trabalhar esta e outras habilidades ( como as EF02HI05 e EF02HI09). Os documentos podem ser: carteira de vacinação, certidão de nascimento, carteira de identidade, carteira de trabalho, boletim escolar, jornais e revistas antigos, diários de classe, cartão postal, fotografias antigas etc. Entre os objetos, podem estar lampião, telefone de discar, ferro de passar roupa a carvão, pilão, tacho de fazer doce etc. A atividade desenvolve as habilidades de identificar, examinar, coletar, organizar e selecionar o material.
História	2º	-	A comunidade e seus registros	Formas de registrar e narrar histórias (marcos de memória materiais e imateriais)	EF02HI05	Selecionar objetos e documentos pessoais e de grupos próximos ao seu convívio e compreender sua função, seu uso e seu significado.	Escolher objetos e documentos próprios e de outras pessoas significa identificar, explicar para que servem e como são usados. A habilidade aprofunda a anterior (EF02HI04), pois expande o quadro de referências do aluno e lhe possibilita comparar e diferenciar formas de registros suas e de outros.	Na elaboração do currículo, dando continuidade à sugestão proposta para a habilidade (EF02HI04), os alunos podem elaborar fichas de identificação dos objetos e documentos selecionados junto aos familiares e grupos próximos (o que são e para que servem), separando-os conforme sua função: por exemplo, objetos de cozinha, de comunicação, documentos de saúde etc.
História	2º	-	A comunidade e seus registros	O tempo como medida	EF02HI06	Identificar e organizar, temporalmente, fatos da vida cotidiana, usando noções relacionadas ao tempo (antes, durante, ao mesmo tempo e depois).	A habilidade consiste em sequenciar fatos cotidianos de forma cronológica, aplicando palavras e expressões temporais (antes, durante, ao mesmo tempo e depois), o que permite desenvolver a compreensão da temporalidade linear.	Na elaboração do currículo, é importante considerar que a habilidade pode ser desenvolvida por meio de jogos, narrações orais feitas pelos alunos sobre seu dia a dia, cenas ilustradas do cotidiano que devem ser alinhadas em uma linha do tempo etc. Além disso, é possível complementar a habilidade inserindo no aprendizado contos populares, indígenas, africanos ou de outras origens, visto que o conto é uma história completa, que se desenrola de forma linear, cronológica, com um começo, meio (conflito ou ápice) e fim (a superação ou solução do conflito), inicia-se com uma expressão temporal – era uma vez, naquele tempo, há muito tempo ou tempos atrás, por exemplo – completada por uma expressão espacial – em um reino distante, no meio da floresta, junto a um rio, para além das montanhas etc. Essas expressões servem de referência para, mais tarde, o aluno compreender cortes temporais maiores, como décadas, séculos, milênios etc. Há, aqui, oportunidade para o trabalho interdisciplinar com a habilidade (EF02MA18), da Matemática, associada à identificação de intervalos de tempo entre datas e organização temporal de fatos, utilizando calendário.
História	2º	-	A comunidade e seus registros	O tempo como medida	EF02HI07	Identificar e utilizar diferentes marcadores do tempo presentes na comunidade, como relógio e calendário.	Esta habilidade consiste em identificar, examinar, compreender e utilizar relógios e calendários, assim como outros marcadores temporais que estão inseridos nos lugares de vivência do aluno. É uma habilidade complexa, pois implica em calcular, medir e dividir o tempo.	Na elaboração do currículo, para que a habilidade esteja alinhada às habilidades específicas de História, uma sugestão é estimular o aluno a imaginar como era medido o tempo antes da invenção do relógio. O movimento do sol observado pela sombra ou luz projetada no pátio da escola ou na sala de aula (podendo, inclusive, ser marcado a lápis ou giz durante as semanas seguintes) permite ao estudante visualizar e medir a passagem do tempo. A habilidade pode, ainda, ser reforçada com o uso de agendas e calendários em que os alunos registram tarefas e organizam o tempo para realizá-las. Pode-se também pensar em um trabalho multidisciplinar com Matemática, já que o aprendizado de marcadores do tempo necessita ser feito por meio de cálculos. Há, aqui, oportunidade para o trabalho interdisciplinar com as habilidades (EF02MA18) e (EF02MA19), da Matemática; e (EF02CI07), de Ciências, associadas a observação, medição e registros da passagem do tempo, utilizando calendário marcadores.
História	2º	-	As formas de registrar as experiências da comunidade	As fontes: relatos orais, objetos, imagens (pinturas, fotografias, vídeos), músicas, escrita, tecnologias digitais de informação e comunicação e inscrições nas paredes, ruas e espaços sociais	EF02HI08	Compilar histórias da família e/ou da comunidade registradas em diferentes fontes.	Esta habilidade consiste em procurar e reunir as histórias familiares e/ou da comunidade a partir das informações coletadas em diferentes fontes, como relatos orais, fotografias, objetos, notas em jornais ou mensagens em redes sociais etc. A habilidade exige do aluno coletar, selecionar e organizar as informações que ele encontrou para depois juntá-las em um só lugar.	Na elaboração do currículo, deve-se levar em conta que, no 2º ano, importa desenvolver no aluno a percepção de que a história e as experiências da família e da sociedade estão registradas sob diferentes formas e que elas trazem mensagens e informações que dizem respeito a um grupo ou a toda sociedade. Desse modo, no 6º ano, o aluno deverá ter aprendido que todos os registros servem de fonte para a pesquisa do historiador, contribuindo para conhecer e explicar a história de uma sociedade.
História	2º	-	As formas de registrar as experiências da comunidade	As fontes: relatos orais, objetos, imagens (pinturas, fotografias, vídeos), músicas, escrita, tecnologias digitais de informação e comunicação e inscrições nas paredes, ruas e espaços sociais	EF02HI09	Identificar objetos e documentos pessoais que remetam à própria experiência no âmbito da família e/ou da comunidade, discutindo as razões pelas quais alguns objetos são preservados e outros são descartados.	Esta habilidade avança em relação ao que foi tratado nas habilidades (EF02HI04) e (EF02HI05), mas agora, com um modificador mais complexo, que mobiliza outras habilidades, como explicar, interpretar e inferir, que permitam compreender as razões para conservar ou descartar objetos e documentos. Essa percepção deve vir por meio de o aluno reconhecer objetos e documentos que apontem para o seu histórico familiar ou na comunidade.	Na elaboração do currículo, deve-se levar em conta que o aluno precisa perceber que fatores interferem na escolha daquilo que se guarda e do que se joga fora. O questionamento suscita reflexão e estimula o estudante a criar hipóteses onde são avaliados aspectos diversos, como validade e/ou temporalidade do objeto e do documento, informações neles contidas e até mesmo seu significado afetivo enquanto memória pessoal, familiar ou coletiva.
História	2º	-	O trabalho e a sustentabilidade na comunidade	A sobrevivência e a relação com a natureza	EF02HI10	Identificar diferentes formas de trabalho existentes na comunidade em que vive, seus significados, suas especificidades e importância.	Esta habilidade diz respeito a perceber, distinguir e avaliar as diferentes formas de trabalho exercidas pelas pessoas no entorno do aluno, como na escola (professor, diretor, zelador etc.), nos comércios em seus locais de vivência (trabalhadores de padarias, mercados etc.), entre outros. Essa percepção confere maior significado à aprendizagem de que todas as atividades de trabalho são valorosas e contribuem para o bem comum.	Na elaboração do currículo, pode-se prever atividades que propiciem ao aluno planejar e realizar uma pesquisa sobre diferentes formas de trabalho existentes na comunidade, incluindo o informal e as novas formas de trabalho (home office, motorista de aplicativos etc.). Caberá aos professores orientar os alunos sobre o que observar e registrar, assim como promover a auto avaliação do trabalho realizado.
História	2º	-	O trabalho e a sustentabilidade na comunidade	A sobrevivência e a relação com a natureza	EF02HI11	Identificar impactos no ambiente causados pelas diferentes formas de trabalho existentes na comunidade em que vive.	Esta habilidade dá sequência à anterior (EF02HI10), apresentando um novo conteúdo referente à relação causal entre trabalho e impactos ambientais. A habilidade torna-se mais complexa, pois implica em reconhecer a correlação entre causa e efeito (ou consequência) –, habilidade específica para o desenvolvimento do raciocínio histórico. Para esta fase escolar, basta que o aluno identifique mudanças causadas no ambiente pelas formas de trabalho, como, por exemplo, a derrubada de árvores para construir um conjunto habitacional ou para abrir áreas de plantio ou pastoreio.	Na elaboração do currículo, pode-se prever a visita dos alunos a uma fábrica, fazenda produtora, oficina, redação de um jornal, gráfica etc., que lhes possibilite observar diferentes formas de trabalho e como elas se correlacionam com o ambiente, alterando o espaço e a natureza.
História	3º	-	As pessoas e os grupos que compõem a cidade e o município	O “Eu”, o “Outro” e os diferentes grupos sociais e étnicos que compõem a cidade e os municípios: os desafios sociais, culturais e ambientais do lugar onde vive	EF03HI01	Identificar os grupos populacionais que formam a cidade, o município e a região, as relações estabelecidas entre eles e os eventos que marcam a formação da cidade, como fenômenos migratórios (vida rural/vida urbana), desmatamentos, estabelecimento de grandes empresas etc.	A habilidade implica em reconhecer, listar e localizar elementos da história da cidade e da região que tenham sido imprescindíveis para a sua formação, como grupos populacionais, suas inter-relações, o crescimento econômico e tecnológico etc. O aluno é, assim, introduzido em um contexto mais amplo da sociedade em que vive por meio da história de sua cidade ou região, pensando em questões tais quais: Como surgiu minha cidade? Quem a fundou e povoou? O que aconteceu? Quando?	Na elaboração do currículo, é possível prever levar os alunos a observarem os grupos populacionais que constituem a sociedade formada em sua região. Pode haver questionamentos como: Há imigrantes na minha cidade? De que país ou região do Brasil? Há afrodescendentes e indígenas? Essas pessoas vieram antes ou depois de meus pais e avós? O nome da cidade pode ser um bom ponto de partida para levantar a história local. O aluno pode pensar em por que a cidade tem esse nome: Ele homenageia alguém? É um nome de origem indígena, africana, portuguesa ou outro?  A cidade tinha outro nome antes desse? Por que mudou?
História	3º	-	As pessoas e os grupos que compõem a cidade e o município	O “Eu”, o “Outro” e os diferentes grupos sociais e étnicos que compõem a cidade e os municípios: os desafios sociais, culturais e ambientais do lugar onde vive	EF03HI02	Selecionar, por meio da consulta de fontes de diferentes naturezas, e registrar acontecimentos ocorridos ao longo do tempo na cidade ou região em que vive.	Esta habilidade consiste em escolher fatos coletados de diferentes fontes (relatos orais, fotografias antigas, documentos, objetos etc.) que dizem respeito à história da cidade ou da região. Depois, deve-se registrar essas informações, em seu caderno, por exemplo. Isso exige do aluno sistematizar e organizar a informação, dando-lhe um sentido inteligível.  Consultar fontes e selecionar informações são habilidades específicas da História que o aluno começou a desenvolver no 2º ano (nas habilidades EF02HI04, EF02HI05 e EF02HI09) e que, aqui, no 3º ano, aprofundam-se com a habilidade de registrar.	Na elaboração do currículo, pode-se prever a pesquisa a partir da investigação do feriado local que, em geral, é a data da fundação da cidade. O aluno pode se perguntar o que aconteceu nessa data. É possível prever, também, a visita a uma biblioteca, arquivo público ou museu local para que os alunos reúnam informações sobre a história da cidade. Na ausência de instituições desse tipo, pode ser uma oportunidade para a escola iniciar um projeto de história local, com a contribuição da comunidade, e que tenha continuidade com outras gerações de alunos. Há, aqui, oportunidade de trabalho interdisciplinar com as habilidades (EF03LP26), (EF35LP17), da Língua Portuguesa; (EF03MA18), da Matemática; e (EF03HI03), da própria História, associadas à realização de pesquisas.
